Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
1.hdr;32;RGB(A);10194519;;;;;;;;;
1.hdr;4;CMYK;6291456;0.017679;0.000313;35.050813;0.389627;0.012134;0.000147;38.319593;0.996572;
1.hdr;6;CMYK;9437184;0.018020;0.000325;34.884778;0.490857;0.012212;0.000149;38.263931;0.315741;
1.hdr;8;CMYK;12582912;0.018215;0.000332;34.791405;1.156476;0.012316;0.000152;38.190297;0.624596;
1.hdr;10;CMYK;15728640;0.018269;0.000334;34.765628;1.698576;0.012347;0.000152;38.168874;0.820238;
1.hdr;4;YCbC;4718592;0.036223;0.001312;28.820231;53.595712;0.022173;0.000492;33.083605;33.191434;
1.hdr;6;YCbC;7077888;0.040034;0.001603;27.951365;44.818958;0.024587;0.000605;32.185854;38.961506;
1.hdr;8;YCbC;9437184;0.041349;0.001710;27.670654;48.623091;0.025284;0.000639;31.943102;41.510095;
1.hdr;10;YCbC;11796480;0.041684;0.001738;27.600670;49.535588;0.025457;0.000648;31.883962;41.481769;
1.hdr;4;HCL;4718592;0.041735;0.001742;27.589948;45.325671;0.025929;0.000672;31.724131;39.335263;
1.hdr;6;HCL;7077888;0.040798;0.001664;27.787180;39.013834;0.025294;0.000640;31.939726;32.491134;
1.hdr;8;HCL;9437184;0.040811;0.001666;27.784371;38.950172;0.025198;0.000635;31.972615;32.000038;
1.hdr;10;HCL;11796480;0.040815;0.001666;27.783647;38.861775;0.025177;0.000634;31.979772;31.901629;
1.hdr;4;Lab;4718592;0.054199;0.002937;25.320249;50.248186;0.031287;0.000979;30.092634;37.650404;
1.hdr;6;Lab;7077888;0.060716;0.003686;24.333958;51.840468;0.034312;0.001177;29.291133;51.022031;
1.hdr;8;Lab;9437184;0.062587;0.003917;24.070261;52.268115;0.035116;0.001233;29.089885;49.930538;
1.hdr;10;Lab;11796480;0.063054;0.003976;24.005797;52.364288;0.035318;0.001247;29.040148;50.104836;
1.hdr;4;Luv;4718592;0.079208;0.006274;22.024662;22.817344;0.040331;0.001627;27.887248;19.114721;
1.hdr;6;Luv;7077888;0.076174;0.005802;22.363904;18.299862;0.039817;0.001585;27.998732;16.847257;
1.hdr;8;Luv;9437184;0.075942;0.005767;22.390320;18.790389;0.039775;0.001582;28.007883;18.778900;
1.hdr;10;Luv;11796480;0.075839;0.005751;22.402196;18.256085;0.039768;0.001582;28.009264;19.824766;
1.hdr;4;RGB;4718592;0.080009;0.006401;21.937210;20.302134;0.062428;0.003897;24.092360;25.009346;
1.hdr;6;RGB;7077888;0.079620;0.006339;21.979528;20.232242;0.062192;0.003868;24.125296;24.096249;
1.hdr;8;RGB;9437184;0.079559;0.006330;21.986248;20.237288;0.062166;0.003865;24.128917;23.956074;
1.hdr;10;RGB;11796480;0.079545;0.006327;21.987703;20.240647;0.062161;0.003864;24.129697;23.924845;
1.hdr;4;sRGB;4718592;0.085161;0.007252;21.395212;37.330503;0.063563;0.004040;23.935845;38.125571;
1.hdr;6;sRGB;7077888;0.084198;0.007089;21.493961;35.221987;0.063391;0.004018;23.959384;36.760851;
1.hdr;8;sRGB;9437184;0.083997;0.007055;21.514764;34.795562;0.063368;0.004016;23.962541;44.754428;
1.hdr;10;sRGB;11796480;0.083949;0.007047;21.519656;34.699086;0.063367;0.004015;23.962784;36.513937;
1.hdr;4;XYZ;4718592;0.107336;0.011521;19.385052;82.948006;0.078994;0.006240;22.048072;57.461822;
1.hdr;6;XYZ;7077888;0.105978;0.011231;19.495674;38.519761;0.075191;0.005654;22.476736;29.773605;
1.hdr;8;XYZ;9437184;0.105736;0.011180;19.515556;37.567656;0.075073;0.005636;22.490277;35.740781;
1.hdr;10;XYZ;11796480;0.105686;0.011169;19.519683;37.240986;0.075047;0.005632;22.493332;29.489774;
1.hdr;4;YCC;4718592;0.197481;0.038999;14.089489;59.181154;0.098476;0.009698;20.133387;52.441206;
1.hdr;6;YCC;7077888;0.256215;0.065646;11.827912;80.280558;0.121118;0.014670;18.335793;69.466367;
1.hdr;8;YCC;9437184;0.293416;0.086093;10.650331;90.871340;0.143145;0.020490;16.884477;76.673556;
1.hdr;10;YCC;11796480;0.329293;0.108434;9.648349;115.029305;0.170966;0.029229;15.341789;103.321923;
