Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\1.hdr,32,RGB(A),10194519,,,,,
pictures\1.hdr,4,CMYK,6291456,0.017679,0.000313,35.050813,0.389627,
pictures\1.hdr,6,CMYK,9437184,0.004189,0.000018,47.556946,0.000437,
pictures\1.hdr,8,CMYK,12582912,0.001038,0.000001,59.678368,0.000039,
pictures\1.hdr,10,CMYK,15728640,0.000266,0.000000,71.507461,0.000053,
pictures\1.hdr,12,CMYK,18874368,0.000066,0.000000,83.598225,0.000003,
pictures\1.hdr,4,YCbC,4718592,0.030128,0.000908,30.420537,29.829151,
pictures\1.hdr,6,YCbC,7077888,0.007481,0.000056,42.521381,0.359574,
pictures\1.hdr,8,YCbC,9437184,0.001853,0.000003,54.642695,0.288740,
pictures\1.hdr,10,YCbC,11796480,0.000465,0.000000,66.658249,0.189151,
pictures\1.hdr,12,YCbC,14155776,0.000119,0.000000,78.488485,0.224546,
pictures\1.hdr,4,HCL,4718592,0.018789,0.000353,34.521862,26.044757,
pictures\1.hdr,6,HCL,7077888,0.004494,0.000020,46.947370,0.057941,
pictures\1.hdr,8,HCL,9437184,0.001102,0.000001,59.159574,0.000093,
pictures\1.hdr,10,HCL,11796480,0.000270,0.000000,71.361043,0.000009,
pictures\1.hdr,12,HCL,14155776,0.000068,0.000000,83.314445,0.000002,
pictures\1.hdr,4,Lab,4718592,0.035227,0.001241,29.062450,31.784866,
pictures\1.hdr,6,Lab,7077888,0.007381,0.000054,42.637119,4.415942,
pictures\1.hdr,8,Lab,9437184,0.001816,0.000003,54.816512,3.984119,
pictures\1.hdr,10,Lab,11796480,0.000453,0.000000,66.877376,4.342059,
pictures\1.hdr,12,Lab,14155776,0.000114,0.000000,78.875788,4.781075,
pictures\1.hdr,4,Luv,4718592,0.026435,0.000699,31.556404,33.246568,
pictures\1.hdr,6,Luv,7077888,0.006888,0.000047,43.237655,3.977885,
pictures\1.hdr,8,Luv,9437184,0.001668,0.000003,55.556951,4.110220,
pictures\1.hdr,10,Luv,11796480,0.000438,0.000000,67.168069,0.982115,
pictures\1.hdr,12,Luv,14155776,0.000104,0.000000,79.691442,1.607720,
pictures\1.hdr,4,RGB,4718592,0.019930,0.000397,34.009741,25.292148,
pictures\1.hdr,6,RGB,7077888,0.004493,0.000020,46.948378,9.027332,
pictures\1.hdr,8,RGB,9437184,0.001116,0.000001,59.048782,0.011129,
pictures\1.hdr,10,RGB,11796480,0.000279,0.000000,71.081330,0.007603,
pictures\1.hdr,12,RGB,14155776,0.000050,0.000000,86.080925,0.000029,
pictures\1.hdr,4,sRGB,4718592,0.016588,0.000275,35.604030,16.428446,
pictures\1.hdr,6,sRGB,7077888,0.003911,0.000015,48.153614,0.027159,
pictures\1.hdr,8,sRGB,9437184,0.000972,0.000001,60.247762,0.001377,
pictures\1.hdr,10,sRGB,11796480,0.000249,0.000000,72.085899,0.000064,
pictures\1.hdr,12,sRGB,14155776,0.000062,0.000000,84.203862,0.000031,
pictures\1.hdr,4,XYZ,4718592,0.039760,0.001581,28.011007,27.608554,
pictures\1.hdr,6,XYZ,7077888,0.014715,0.000217,36.644591,2.003707,
pictures\1.hdr,8,XYZ,9437184,0.010766,0.000116,39.358637,1.553936,
pictures\1.hdr,10,XYZ,11796480,0.010423,0.000109,39.640128,1.769981,
pictures\1.hdr,12,XYZ,14155776,0.010403,0.000108,39.657174,1.793968,
pictures\1.hdr,4,YCC,4718592,0.065587,0.004302,23.663598,8.634255,
pictures\1.hdr,6,YCC,7077888,0.057308,0.003284,24.835670,11.646328,
pictures\1.hdr,8,YCC,9437184,0.056848,0.003232,24.905667,9.803572,
pictures\1.hdr,10,YCC,11796480,0.056822,0.003229,24.909736,9.868121,
pictures\1.hdr,12,YCC,14155776,0.056821,0.003229,24.909886,9.852879,
pictures\1.hdr,4,YPbPr,4718592,0.030128,0.000908,30.420537,29.829151,
pictures\1.hdr,6,YPbPr,7077888,0.007481,0.000056,42.521381,0.359574,
pictures\1.hdr,8,YPbPr,9437184,0.001853,0.000003,54.642695,0.288740,
pictures\1.hdr,10,YPbPr,11796480,0.000465,0.000000,66.658249,0.189151,
pictures\1.hdr,12,YPbPr,14155776,0.000119,0.000000,78.488485,0.224546,
pictures\1.hdr,4,YUV,4718592,0.027050,0.000732,31.356721,26.070557,
pictures\1.hdr,6,YUV,7077888,0.006840,0.000047,43.298642,4.238562,
pictures\1.hdr,8,YUV,9437184,0.001700,0.000003,55.391646,3.932010,
pictures\1.hdr,10,YUV,11796480,0.000425,0.000000,67.433990,4.163299,
pictures\1.hdr,12,YUV,14155776,0.000109,0.000000,79.276610,4.482488,
pictures\2.hdr,32,RGB(A),10462913,,,,,
pictures\2.hdr,4,CMYK,6291456,0.019960,0.000398,33.996787,0.098493,
pictures\2.hdr,6,CMYK,9437184,0.004763,0.000023,46.442179,0.000181,
pictures\2.hdr,8,CMYK,12582912,0.001176,0.000001,58.591668,0.000017,
pictures\2.hdr,10,CMYK,15728640,0.000305,0.000000,70.305318,0.000008,
pictures\2.hdr,12,CMYK,18874368,0.000075,0.000000,82.473847,0.000002,
pictures\2.hdr,4,YCbC,4718592,0.031461,0.000990,30.044433,10.127991,
pictures\2.hdr,6,YCbC,7077888,0.008240,0.000068,41.681350,0.134323,
